Name,Rating,Ease of Prep,Type,Prep Time,Ingredients
Jamaican Jerk Chicken,⭐⭐⭐⭐⭐,Average,Main Dish,30,Chicken
Pasta Salad,⭐⭐⭐,Fairly Easy,Salad,20,"Kielbasa,Noodles"
Lasagna,⭐⭐⭐,Fairly Easy,Main Dish,45,"Sausage,Noodles"
Hearty Pancakes,⭐⭐⭐⭐,Average,Breakfast,20,
Summer Garden Couscous Salad,⭐⭐⭐⭐,Hard,Salad,30,"Lettuce,Potatoes"
Squash Corn Chowder,⭐⭐,Hard,Main Dish,45,"Corn,Squash,Potatoes"
"White beans, Tomatoes, and Spinach",⭐⭐⭐,Fairly Easy,Main Dish,30,"White beans,Tomatoes,Spinach"
Spaghetti,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,15,"Noodles,Marinara Sauce"
Scones,⭐⭐⭐⭐⭐,Super Simple,Desert,45,"Flower,Sugar,Butter,Milk"
Pizza,⭐⭐⭐⭐⭐,Average,Main Dish,120,"Flour,Tomatoes,Mozzarella cheese"
Stir-Fry,⭐⭐⭐⭐⭐,Fairly Easy,25,"Chicken,Rice"
Rustic Italian Tortellini Soup,⭐⭐⭐⭐,Hard,Main Dish,30,"Sausage,Noodles,Cheese"
Swedish Meatballs,⭐⭐⭐,Very Difficult,Main Dish,90,"Beef,Noodles,Eggs"
Barley Beef Skillet,⭐⭐⭐⭐,Super Simple,Main Dish,25,Beef
Southwest Beef & Rice Skillet,⭐⭐⭐⭐⭐,Super Simple,Main Dish,25,"Beef,Rice,Chives,Onions,Dried tomatoes"
Glazed Pork Chops with Corn Bread Dressing,⭐⭐⭐⭐,Average,Main Dish,45,"Pork chops,Corn flour,Salt,Onions"
Fried Rice,⭐⭐⭐⭐,Super Simple,Main Dish,20,"Chicken,Eggs,Rice"
Zesty Sausage & Beans,⭐⭐⭐⭐⭐,Fairly Easy,Main Dish,45,"Sausage,Beans,Rice"
Prosciutto Pasta Toss,⭐⭐,Fairly Easy,Main Dish,30,"Noodles,Ham"
Cashew Chicken with Noodles,⭐⭐⭐⭐⭐,Average,Main Dish,20,"Noodles,Chicken"
Herb Chicken with Honey Butter,⭐⭐⭐,Average,Main Dish,30,"Honey butter,Chicken breast"
French Toast,⭐⭐⭐⭐,Super Simple,Breakfast,10,"Bread,Eggs"
Swedish Pancakes,⭐⭐⭐⭐,Fairly Easy,Breakfast,20,"Flour,Sugar,Butter,Eggs"
Baked Cheddar Eggs & Potatoes,⭐⭐⭐⭐⭐,Fairly Easy,Main Dish,45,"Eggs,Potatoes"
Ravioli with Snap Peas,⭐⭐⭐⭐,Hard,Main Dish,40,"Noodles,Milk,Cheese,Snap peas"
Greek Yogurt and Honey Blueberry Muffins,⭐⭐⭐⭐,Average,Breakfast,30,"Eggs,Milk,Blueberries,Honey"
Whole Grain Waffles,⭐⭐⭐⭐⭐,Super Simple,Breakfast,25,"Eggs,Milk"
Lemon Bars,⭐⭐⭐,Fairly Easy,Dessert,60,"Lemons,Sugar,Flour"
Qahaq Cookies,⭐⭐,Average,Dessert,30,"Sugar,Flour,Eggs,Butter,Milk"
Blondies with Nutella,⭐⭐,Hard,Dessert,90,"Nutella,Butter,Milk"
Hot Chocolate,⭐⭐⭐⭐⭐,Super Simple,Dessert,10,"Milk,Chocolate powder"
Chocolate Mousse,⭐⭐⭐⭐,Hard,Dessert,30,"Chocolate powder,Milk,Sugar,Flour"
S'mores Cookie Bars,⭐⭐⭐⭐,Hard,Dessert,45,"Marshmellows,Sugar,Butter,Eggs"
Orange Chicken,⭐⭐⭐⭐,Fairly Easy,Main Dish,40,"Chicekn,Oranges,Onions,Pineapples"
Black Bean Stuffed Sweet Potatoes,⭐,Fairly Easy,,Main Dish,20,"Beans,Cheese"
Asian Shredded Beef,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,"Beef,Green onions,Carrots"
"Capellini with sausage, spinach, and jalapeno",⭐⭐⭐⭐,Fairly Easy,Main Dish,40,"Sausage,Noodles"
Crispy Chicken with Kale,⭐⭐,Fairly Easy,Main Dish,45,Chicken
Roast Chicken Grain Bowl,⭐,Average,Main Dish,60,Chicken
Chicken thighs with barley and peas,⭐⭐,Fairly Easy,Main Dish,60,Chicken,
Rice noodles with meatballs and bok choy,⭐⭐⭐⭐,Hard,Main Dish,45,"Beef,Noodles",
Paprika Pork with Roasted Potatoes and Dill Cream,⭐⭐⭐,Fairly Easy,Main Dish,60,"Pork,Potatoes",
Chicken cutlets with carrot and kale salad,⭐⭐⭐,Average,,Main Dish,30,Chicken,
Gnocchi and sweet potatoes,⭐⭐⭐,Fairly Easy,,Main Dish,20,"Gnocchi,Sweet potatoes"
Shepherd's Pie,⭐⭐⭐⭐,Hard,,Main Dish,60,"Beef,Potatoes"
Garlic Parmesan Chicken,⭐⭐,Super Simple,,Main Dish,45,"Chicken,Rice"
Turkey Pot Pie,⭐⭐⭐,Fairly Easy,,Main Dish,60,Turkey
Balsamic Bacon Brussels Sprouts,⭐⭐⭐,Fairly Easy,,Side Dish,40,Bacon
Lemon Red Potatoes,⭐⭐,Super Simple,,Side Dish,150,Potatoes
Potato and Corn Chowder,⭐⭐⭐,Super Simple,,Main Dish,20,"Potatoes,Milk,Cheese"
Thai Chicken,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,"Chicken,Peanuts,Carrots,Peppers"
Italian Fagoli Vegetable Soup,⭐⭐⭐⭐,Fairly Easy,Main Dish,45,"Tomatoes,Carrots"
Blueberry Pie,⭐⭐⭐⭐⭐,Fairly Easy,Dessert,120,"Blueberries,Sugar"
Chocolate Pudding,⭐⭐⭐⭐,Fairly Easy,Dessert,30,"Chocolate powder,Sugar,Eggs,Butter,Milk"
Browned Butter Beets,⭐⭐⭐⭐⭐,Hard,Side Dish,120,Beets
Turkey Soup with Homemade Noodles,⭐⭐⭐⭐,Average,Main Dish,120,"Turkey,Noodles"
Home fries,⭐⭐⭐⭐⭐,Super Simple,Side Dish,45,Potatoes
Chocolate Raspberry Torte,⭐⭐⭐⭐⭐,Hard,Dessert,60,"Rasberries,Sugar,Milk,Butter"
Golden Latte,⭐⭐⭐⭐⭐,Super Simple,Drink,20,"Cream,Coffee"
Fig Shake,⭐⭐⭐⭐,Fairly Easy,Drink,10,"Figs,Protein powder"
Buckwheat Tabboulah,⭐,Super Simple,Main Dish,30,Buckwheat
One Pot Chicken & Potatoes,⭐⭐⭐⭐,Super Simple,Main Dish,90,"Chicken,Potatoes"
Buckwheat Beetroot Salad,⭐⭐⭐,Average,Main Dish,60,"Buckwhear,Beetroot,Lettuce"
New Potato Lentil Salad,⭐⭐⭐⭐,Fairly Easy,Main Dish,50,Potatoes
Ham & Potato Soup,⭐⭐⭐⭐,Average,Main Dish,60,"Ham,Potatoes"
Lemon Dill Potatoes,⭐⭐⭐⭐,Super Simple,Main Dish,50,"Potatoes,Lemon,Dill"
Buckwheat Chicken Pilaf,⭐⭐⭐⭐⭐,Hard,Main Dish,120,"Chicken,Buckwheat"
Vegetable Noodle Soup,⭐⭐⭐⭐,Super Simple,Main Dish,40,"Noodles,Tomatoes,Carrots"
